OID,Id,units,length,ORIG_FID,POINT_X,POINT_Y
-1,0,qtz-peg-pt,21.2000008,0,325811.226991000003181,6798164.611309999600053
-1,0,qtz-peg-pt,21.2000008,0,325811.420358999981545,6798164.479170000180602
-1,0,qtz-peg-pt,21.2000008,0,325811.605861000018194,6798164.340599999763072
-1,0,qtz-peg-pt,21.2000008,0,325811.875230000005104,6798164.127980000339448
-1,0,qtz-peg-pt,21.2000008,0,325812.092483000014909,6798163.970730000175536
-1,0,qtz-peg-pt,21.2000008,0,325812.302836999995634,6798163.836930000223219
-1,0,qtz-peg-pt,21.2000008,0,325812.605773999996018,6798163.702410000376403
-1,0,qtz-peg-pt,21.2000008,0,325812.886294999974780,6798163.561560000292957
-1,0,qtz-peg-pt,21.2000008,0,325813.314760999986902,6798163.386599999852479
-1,0,qtz-peg-pt,21.2000008,0,325813.626458999991883,6798163.254510000348091
-1,0,qtz-peg-pt,21.2000008,0,325813.864502999989782,6798163.110349999740720
-1,0,qtz-peg-pt,21.2000008,0,325814.063619000022300,6798162.988560000434518
-1,0,qtz-peg-pt,21.2000008,0,325814.315086000016890,6798162.853919999673963
-1,0,qtz-peg-pt,21.2000008,0,325814.539127999974880,6798162.714429999701679
-1,0,qtz-peg-pt,21.2000008,0,325814.817963999987114,6798162.556040000170469
-1,0,qtz-peg-pt,21.2000008,0,325815.007954999979120,6798162.398409999907017
-1,0,qtz-peg-pt,21.2000008,0,325815.231496999971569,6798162.188649999909103
-1,0,qtz-peg-pt,21.2000008,0,325815.343715000024531,6798162.060659999959171
-1,0,qtz-peg-pt,21.2000008,0,325815.533679999993183,6798161.874350000172853
-1,0,qtz-peg-pt,21.2000008,0,325815.718752000015229,6798161.680689999833703
-1,0,qtz-peg-pt,21.2000008,0,325815.955450000008568,6798161.418050000444055
-1,0,qtz-peg-pt,21.2000008,0,325816.191686999984086,6798161.142529999837279
-1,0,qtz-peg-pt,21.2000008,0,325816.564394999993965,6798160.761979999952018
-1,0,qtz-peg-pt,21.2000008,0,325816.931923999974970,6798160.468829999677837
-1,0,qtz-peg-pt,21.2000008,0,325817.109883999975864,6798160.333080000244081
-1,0,qtz-peg-pt,21.2000008,0,325817.428009000024758,6798160.165749999694526
-1,0,qtz-peg-pt,21.2000008,0,325817.649686000018846,6798160.071209999732673
-1,0,qtz-peg-pt,21.2000008,0,325817.832287000026554,6798160.001050000078976
