OID,Id,units,length,ORIG_FID,POINT_X,POINT_Y
-1,0,granitic-qtz,35.5999985,0,325812.261534999997821,6798166.766710000112653
-1,0,granitic-qtz,35.5999985,0,325812.388227000017650,6798166.693210000172257
-1,0,granitic-qtz,35.5999985,0,325812.510414000018500,6798166.589540000073612
-1,0,granitic-qtz,35.5999985,0,325812.596779000014067,6798166.559249999932945
-1,0,granitic-qtz,35.5999985,0,325812.752933999989182,6798166.511400000192225
-1,0,granitic-qtz,35.5999985,0,325812.951289999997243,6798166.432699999772012
-1,0,granitic-qtz,35.5999985,0,325813.121704999997746,6798166.330710000358522
-1,0,granitic-qtz,35.5999985,0,325813.197481999988668,6798166.272660000249743
-1,0,granitic-qtz,35.5999985,0,325813.234947999997530,6798166.239140000194311
-1,0,granitic-qtz,35.5999985,0,325813.257141000009142,6798166.157789999619126
-1,0,granitic-qtz,35.5999985,0,325813.330463999998756,6798166.061239999718964
-1,0,granitic-qtz,35.5999985,0,325813.383020000008401,6798165.964499999769032
-1,0,granitic-qtz,35.5999985,0,325813.437422999995761,6798165.894050000235438
-1,0,granitic-qtz,35.5999985,0,325813.536367000022437,6798165.792689999565482
-1,0,granitic-qtz,35.5999985,0,325813.643832999980077,6798165.746869999915361
-1,0,granitic-qtz,35.5999985,0,325813.715939000016078,6798165.737429999746382
-1,0,granitic-qtz,35.5999985,0,325813.828876000014134,6798165.690580000169575
-1,0,granitic-qtz,35.5999985,0,325813.913241999980528,6798165.626109999604523
-1,0,granitic-qtz,35.5999985,0,325814.001244999992196,6798165.558120000176132
-1,0,granitic-qtz,35.5999985,0,325814.095524000003934,6798165.487340000458062
-1,0,granitic-qtz,35.5999985,0,325814.227936999988742,6798165.481359999626875
-1,0,granitic-qtz,35.5999985,0,325814.373993000015616,6798165.488889999687672
-1,0,granitic-qtz,35.5999985,0,325814.450919999973848,6798165.463670000433922
-1,0,granitic-qtz,35.5999985,0,325814.630953999992926,6798165.371399999596179
-1,0,granitic-qtz,35.5999985,0,325814.671073000004981,6798165.329880000092089
-1,0,granitic-qtz,35.5999985,0,325814.722815999994054,6798165.280570000410080
-1,0,granitic-qtz,35.5999985,0,325814.874947000003885,6798165.195740000344813
-1,0,granitic-qtz,35.5999985,0,325814.961332999984734,6798165.157589999958873
-1,0,granitic-qtz,35.5999985,0,325815.049981000018306,6798165.124569999985397
-1,0,granitic-qtz,35.5999985,0,325815.178789000026882,6798165.047369999811053
-1,0,granitic-qtz,35.5999985,0,325815.235944000014570,6798164.992639999836683
-1,0,granitic-qtz,35.5999985,0,325815.304127999988850,6798164.917930000461638
-1,0,granitic-qtz,35.5999985,0,325815.404566999990493,6798164.818690000101924
-1,0,granitic-qtz,35.5999985,0,325815.486792000010610,6798164.746109999716282
-1,0,granitic-qtz,35.5999985,0,325815.550433000025805,6798164.683779999613762
-1,0,granitic-qtz,35.5999985,0,325815.620638000022154,6798164.645270000211895
-1,0,granitic-qtz,35.5999985,0,325815.837735000008252,6798164.558880000375211
-1,0,granitic-qtz,35.5999985,0,325815.895584999991115,6798164.535400000400841
-1,0,granitic-qtz,35.5999985,0,325815.956744999974035,6798164.510579999536276
-1,0,granitic-qtz,35.5999985,0,325816.056676000007428,6798164.498890000395477
-1,0,granitic-qtz,35.5999985,0,325816.194386999995913,6798164.445550000295043
-1,0,granitic-qtz,35.5999985,0,325816.304414000012912,6798164.378720000386238
-1,0,granitic-qtz,35.5999985,0,325816.463585000019521,6798164.286129999905825
-1,0,granitic-qtz,35.5999985,0,325816.543278999975882,6798164.252709999680519
-1,0,granitic-qtz,35.5999985,0,325816.615395999979228,6798164.222470000386238
-1,0,granitic-qtz,35.5999985,0,325816.735578000021633,6798164.103029999881983
-1,0,granitic-qtz,35.5999985,0,325816.839838000014424,6798163.959520000033081
-1,0,granitic-qtz,35.5999985,0,325816.893771999981254,6798163.848600000143051
-1,0,granitic-qtz,35.5999985,0,325816.938001999980770,6798163.707050000317395
-1,0,granitic-qtz,35.5999985,0,325816.964895999990404,6798163.595710000023246
-1,0,granitic-qtz,35.5999985,0,325817.003718000021763,6798163.471880000084639
-1,0,granitic-qtz,35.5999985,0,325817.070034999982454,6798163.308930000290275
-1,0,granitic-qtz,35.5999985,0,325817.129513000021689,6798163.212290000170469
-1,0,granitic-qtz,35.5999985,0,325817.214671999972779,6798163.129680000245571
-1,0,granitic-qtz,35.5999985,0,325817.319062999973539,6798163.036079999990761
-1,0,granitic-qtz,35.5999985,0,325817.476771000016015,6798162.900870000012219
-1,0,granitic-qtz,35.5999985,0,325817.637897000007797,6798162.767140000127256
-1,0,granitic-qtz,35.5999985,0,325817.755433999991510,6798162.676420000381768
-1,0,granitic-qtz,35.5999985,0,325817.985601000022143,6798162.469270000234246
-1,0,granitic-qtz,35.5999985,0,325818.120094000012614,6798162.348249999806285
-1,0,granitic-qtz,35.5999985,0,325818.182043000007980,6798162.289049999788404
-1,0,granitic-qtz,35.5999985,0,325818.273961000028066,6798162.142799999564886
-1,0,granitic-qtz,35.5999985,0,325818.363951999985147,6798161.978629999794066
-1,0,granitic-qtz,35.5999985,0,325818.448749999981374,6798161.835970000363886
-1,0,granitic-qtz,35.5999985,0,325818.521721999975853,6798161.717480000108480
-1,0,granitic-qtz,35.5999985,0,325818.584486000007018,6798161.655140000395477
-1,0,granitic-qtz,35.5999985,0,325818.675342999980785,6798161.579149999655783
-1,0,granitic-qtz,35.5999985,0,325818.749904999975115,6798161.544580000452697
-1,0,granitic-qtz,35.5999985,0,325818.877842999994755,6798161.490760000422597
-1,0,granitic-qtz,35.5999985,0,325818.940127999987453,6798161.460110000334680
-1,0,granitic-qtz,35.5999985,0,325819.006065000023227,6798161.394270000047982
-1,0,granitic-qtz,35.5999985,0,325819.065806000027806,6798161.331880000419915
-1,0,granitic-qtz,35.5999985,0,325819.155973999993876,6798161.301549999974668
-1,0,granitic-qtz,35.5999985,0,325819.243279999995138,6798161.260630000382662
-1,0,granitic-qtz,35.5999985,0,325819.368358000006992,6798161.142049999907613
-1,0,granitic-qtz,35.5999985,0,325819.432978000026196,6798161.073819999583066
-1,0,granitic-qtz,35.5999985,0,325819.508919999992941,6798161.000959999859333
-1,0,granitic-qtz,35.5999985,0,325819.661320000013802,6798160.943520000204444
-1,0,granitic-qtz,35.5999985,0,325819.758417000004556,6798160.867619999684393
-1,0,granitic-qtz,35.5999985,0,325819.861124999995809,6798160.826940000057220
-1,0,granitic-qtz,35.5999985,0,325819.997486000007484,6798160.811370000243187
-1,0,granitic-qtz,35.5999985,0,325820.134536000026856,6798160.750149999745190
-1,0,granitic-qtz,35.5999985,0,325820.278404999990016,6798160.687250000424683
-1,0,granitic-qtz,35.5999985,0,325820.470869000011589,6798160.600499999709427
-1,0,granitic-qtz,35.5999985,0,325820.573841999983415,6798160.542310000397265
-1,0,granitic-qtz,35.5999985,0,325820.719994999992196,6798160.491759999655187
-1,0,granitic-qtz,35.5999985,0,325820.863071000028867,6798160.444710000418127
-1,0,granitic-qtz,35.5999985,0,325821.009912999987137,6798160.348500000312924
-1,0,granitic-qtz,35.5999985,0,325821.156490999972448,6798160.269799999892712
-1,0,granitic-qtz,35.5999985,0,325821.237847000011243,6798160.211699999868870
-1,0,granitic-qtz,35.5999985,0,325821.432023999979720,6798160.052389999851584
-1,0,granitic-qtz,35.5999985,0,325821.556235999974888,6798159.926830000244081
-1,0,granitic-qtz,35.5999985,0,325821.702060999989044,6798159.785690000280738
-1,0,granitic-qtz,35.5999985,0,325822.000139000010677,6798159.508879999630153
-1,0,granitic-qtz,35.5999985,0,325822.081946999998763,6798159.418669999577105
-1,0,granitic-qtz,35.5999985,0,325822.248149999999441,6798159.269100000150502
-1,0,granitic-qtz,35.5999985,0,325822.292179999989457,6798159.224999999627471
-1,0,granitic-qtz,35.5999985,0,325822.553458000009414,6798159.121969999745488
-1,0,granitic-qtz,35.5999985,0,325822.827761000022292,6798158.993870000354946
-1,0,granitic-qtz,35.5999985,0,325822.968489999999292,6798158.899819999933243
-1,0,granitic-qtz,35.5999985,0,325823.086730999988504,6798158.809709999710321
-1,0,granitic-qtz,35.5999985,0,325823.292951999988873,6798158.668619999662042
-1,0,granitic-peg,20.7999992,1,325808.196600000024773,6798172.164440000429749
-1,0,granitic-peg,20.7999992,1,325808.360511999984737,6798172.061390000395477
-1,0,granitic-peg,20.7999992,1,325808.528256000019610,6798171.969379999674857
-1,0,granitic-peg,20.7999992,1,325808.627008999988902,6798171.899020000360906
-1,0,granitic-peg,20.7999992,1,325808.731402000004891,6798171.831790000200272
-1,0,granitic-peg,20.7999992,1,325808.818086999992374,6798171.762199999764562
-1,0,granitic-peg,20.7999992,1,325808.900107999972533,6798171.669519999995828
-1,0,granitic-peg,20.7999992,1,325808.947907000023406,6798171.577910000458360
-1,0,granitic-peg,20.7999992,1,325809.026376999972854,6798171.502179999835789
-1,0,granitic-peg,20.7999992,1,325809.079260000027716,6798171.461299999617040
-1,0,granitic-peg,20.7999992,1,325809.181329999992158,6798171.359539999626577
-1,0,granitic-peg,20.7999992,1,325809.263567999994848,6798171.292609999887645
-1,0,granitic-peg,20.7999992,1,325809.324154999980237,6798171.245199999772012
-1,0,granitic-peg,20.7999992,1,325809.420342000026722,6798171.152110000140965
-1,0,granitic-peg,20.7999992,1,325809.517761999974027,6798171.077320000156760
-1,0,granitic-peg,20.7999992,1,325809.661070999980439,6798170.960110000334680
-1,0,granitic-peg,20.7999992,1,325809.878568999993149,6798170.854980000294745
-1,0,granitic-peg,20.7999992,1,325809.986244999978226,6798170.806859999895096
-1,0,granitic-peg,20.7999992,1,325810.069602000003215,6798170.794920000247657
-1,0,granitic-peg,20.7999992,1,325810.147475000005215,6798170.758750000037253
-1,0,granitic-peg,20.7999992,1,325810.298982999986038,6798170.701399999670684
-1,0,granitic-peg,20.7999992,1,325810.421549000020605,6798170.663909999653697
-1,0,granitic-peg,20.7999992,1,325810.562632000015583,6798170.613280000165105
-1,0,granitic-peg,20.7999992,1,325810.671457000018563,6798170.558469999581575
-1,0,granitic-peg,20.7999992,1,325810.771596000005957,6798170.487929999828339
-1,0,granitic-peg,20.7999992,1,325810.867349000007380,6798170.413490000180900
-1,0,granitic-peg,20.7999992,1,325811.003001999983098,6798170.263910000212491
-1,0,granitic-peg,20.7999992,1,325811.093438000010792,6798170.164189999923110
-1,0,granitic-peg,20.7999992,1,325811.138325000007171,6798170.136269999668002
-1,0,granitic-peg,20.7999992,1,325811.212399000010919,6798170.077220000326633
-1,0,granitic-peg,20.7999992,1,325811.287728999974206,6798170.008190000429749
